"","CTYNAME","age_grp","N0","V0_1","V0_2","V0_3","V0_4","V0_5","V0_6","V0_7","S0_1","S0_2","S0_3","S0_4","S0_5","S0_6","S0_7","R0","theta_1","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7"
"182","Denton","20",750373,708865,596309,731126,731271,671346,633828,746384,41508,154064,19247,19102,79027,116545,3989,0,0,0,0,0,0,0,0
"183","Denton","5_19",199676,151075,127092,155889,157458,143080,135086,158321,48601,72584,43787,42218,56596,64590,41355,0,0,0,0,0,0,0,0
"184","Dickens","0_4",88,86,73,86,88,82,77,88,2,15,2,0,6,11,0,0,0,0,0,0,0,0,0
"185","Dickens","20",1353,1327,1124,1318,1353,1259,1191,1353,26,229,35,0,94,162,0,0,0,0,0,0,0,0,0
"186","Dickens","5_19",270,198,168,198,201,188,178,201,72,102,72,69,82,92,69,0,0,0,0,0,0,0,0
"187","Dimmit","0_4",624,623,529,608,624,592,560,624,1,95,16,0,32,64,0,0,0,0,0,0,0,0,0
"188","Dimmit","20",5620,5609,4766,5476,5620,5328,5047,5620,11,854,144,0,292,573,0,0,0,0,0,0,0,0,0
"189","Dimmit","5_19",2013,1583,1346,1547,1586,1504,1425,1586,430,667,466,427,509,588,427,0,0,0,0,0,0,0,0
"190","Donley","0_4",158,154,130,154,158,146,138,158,4,28,4,0,12,20,0,0,0,0,0,0,0,0,0
"191","Donley","20",2375,2312,1955,2314,2375,2193,2074,2375,63,420,61,0,182,301,0,0,0,0,0,0,0,0,0
"192","Donley","5_19",681,427,362,428,437,405,384,438,254,319,253,244,276,297,243,0,0,0,0,0,0,0,0
"193","Duval","0_4",664,658,559,647,664,625,592,664,6,105,17,0,39,72,0,0,0,0,0,0,0,0,0
"194","Duval","20",6848,6790,5763,6672,6848,6448,6105,6848,58,1085,176,0,400,743,0,0,0,0,0,0,0,0,0
"195","Duval","5_19",2092,1639,1391,1611,1652,1556,1473,1652,453,701,481,440,536,619,440,0,0,0,0,0,0,0,0
"196","Eastland","0_4",1058,1023,865,1031,1058,970,918,1058,35,193,27,0,88,140,0,0,1,0,1,1,1,1,1
"197","Eastland","20",13477,13036,11014,13131,13477,12362,11688,13477,441,2463,346,0,1115,1789,0,0,0,0,0,0,0,0,0
"198","Eastland","5_19",3502,2469,2086,2485,2546,2341,2214,2549,1033,1416,1017,956,1161,1288,953,0,0,0,0,0,0,0,0
"199","Ector","0_4",14192,13912,11783,13828,14192,13202,12493,14192,280,2409,364,0,990,1699,0,0,7,6,8,8,7,7,8
"200","Ector","20",109505,107342,90917,106696,109505,101867,96392,109505,2163,18588,2809,0,7638,13113,0,0,0,0,0,0,0,0,0
"201","Ector","5_19",40797,32827,27804,32630,33330,31153,29479,33386,7970,12993,8167,7467,9644,11318,7411,0,0,0,0,0,0,0,0
"202","Edwards","0_4",84,82,70,82,84,78,74,84,2,14,2,0,6,10,0,0,0,0,0,0,0,0,0
"203","Edwards","20",1068,1044,884,1041,1068,991,937,1068,24,184,27,0,77,131,0,0,0,0,0,0,0,0,0
"204","Edwards","5_19",241,190,161,189,194,180,170,194,51,80,52,47,61,71,47,0,0,0,0,0,0,0,0
"205","El Paso","0_4",55654,54833,46485,54227,55654,52050,49267,55654,821,9169,1427,0,3604,6387,0,0,29,25,28,30,28,26,30
